Episode,Total_Reward
1655,119.5
1656,160.0
1657,160.0
1658,159.0
1659,127.5
1660,148.4
1661,140.0
1662,125.56
1663,145.5
1664,146.0
1665,131.8
1666,147.2
1667,160.0
1668,121.2
1669,143.0
1670,139.0
1671,148.5
1672,160.0
1673,70.0
1674,100.76
1675,132.8
1676,98.35999999999999
1677,137.5
1678,160.0
1679,133.0
1680,128.8
1681,118.5
1682,139.0
1683,116.6
1684,137.0
1685,138.0
1686,137.0
1687,82.1
1688,158.8
1689,156.8
1690,124.8
1691,71.80000000000001
1692,137.0
1693,121.2
1694,133.0
1695,113.0
1696,93.0
1697,134.4
1698,137.0
1699,130.8
1700,99.6
1701,110.5
1702,80.5
1703,95.9
1704,89.4
1705,127.16
1706,121.0
1707,125.76
1708,153.36
1709,76.5
1710,107.4
1711,123.0
1712,110.5
1713,155.8
1714,157.0
1715,128.0
1716,144.6
1717,89.5
1718,133.8
1719,111.6
1720,150.39999999999998
1721,100.1
1722,160.0
1723,136.0
1724,144.5
1725,129.0
1726,82.6
1727,129.6
1728,96.3
1729,147.0
1730,149.6
1731,140.0
1732,78.3
1733,115.7
1734,160.0
1735,81.6
1736,149.0
1737,130.6
1738,88.47999999999999
1739,135.8
1740,83.5
1741,76.9
1742,112.1
1743,122.19999999999999
1744,135.5
1745,160.0
1746,139.6
1747,134.6
1748,112.4
1749,124.8
1750,73.30000000000001
1751,145.06
1752,150.39999999999998
1753,128.2
1754,142.66
1755,157.0
1756,124.5
1757,87.29999999999998
1758,139.0
1759,108.19999999999999
1760,128.56
1761,160.0
1762,109.1
1763,111.7
1764,98.66
1765,131.0
1766,135.5
1767,143.0
1768,129.39999999999998
1769,137.6
1770,89.4
1771,146.0
1772,130.6
1773,129.0
1774,158.0
1775,160.0
1776,125.0
1777,142.66
1778,134.5
1779,116.5
1780,120.76
1781,119.5
1782,122.26
1783,144.0
1784,98.39999999999999
1785,131.39999999999998
1786,137.2
1787,64.0
1788,137.0
1789,153.39999999999998
1790,70.0
1791,130.2
1792,125.8
1793,124.3
1794,151.2
1795,104.9
1796,160.0
1797,160.0
1798,116.9
1799,83.3
1800,132.3
1801,130.2
1802,98.5
1803,146.4
1804,135.5
1805,132.8
1806,122.5
1807,158.8
1808,114.59999999999998
1809,77.30000000000001
1810,159.0
1811,151.10000000000002
1812,130.6
1813,102.6
1814,129.4
1815,96.5
1816,147.3
1817,153.6
1818,128.1
1819,124.8
1820,156.8
1821,152.6
1822,133.8
1823,85.8
1824,104.5
1825,152.4
1826,113.5
1827,114.1
1828,135.8
1829,146.0
1830,149.6
1831,76.3
1832,138.6
1833,137.0
1834,149.0
1835,107.0
1836,142.8
1837,105.5
1838,135.5
1839,105.5
1840,109.8
1841,139.59999999999997
1842,147.9
1843,160.0
1844,40.00000000000001
1845,92.39999999999999
1846,123.0
1847,100.9
1848,152.6
1849,155.8
1850,135.6
1851,146.2
1852,157.0
1853,119.19999999999999
1854,84.6
1855,111.8
1856,125.4
1857,100.7
1858,127.79999999999998
1859,129.9
1860,157.0
1861,162.0
1862,111.4
1863,113.1
1864,153.2
1865,93.4
1866,144.0
1867,131.76
1868,142.96
1869,130.8
1870,156.8
1871,144.0
1872,104.9
1873,107.79999999999998
1874,104.75999999999999
1875,133.7
1876,126.0
1877,119.60000000000001
1878,139.0
1879,102.0
1880,144.6
1881,156.7
1882,146.5
1883,157.2
1884,121.8
1885,140.0
1886,113.4
1887,130.6
1888,79.0
1889,127.5
1890,131.6
1891,100.5
1892,128.1
1893,152.4
1894,156.0
1895,100.3
1896,155.6
1897,154.0
1898,104.0
1899,108.4
1900,115.0
1901,89.8
1902,147.8
1903,148.5
1904,115.4
1905,135.5
1906,100.59999999999998
1907,100.3
1908,142.7
1909,159.0
1910,135.5
1911,108.80000000000001
1912,160.0
1913,112.2
1914,66.19999999999999
1915,144.0
1916,160.0
1917,132.5
1918,125.8
1919,116.9
1920,145.4
1921,100.5
1922,155.6
1923,133.2
1924,122.8
1925,146.0
1926,156.8
1927,153.6
1928,137.4
1929,156.7
1930,95.0
1931,149.0
1932,101.46000000000001
1933,128.0
1934,160.0
1935,116.4
1936,132.3
1937,141.0
1938,137.6
